frequency,FFTpower
51.63536,7.68E-10
51.68282,7.97E-10
51.73027,2.36E-09
51.77773,7.74E-10
51.82519,6.56E-09
51.87265,3.74E-09
51.92011,1.15E-08
51.96757,1.30E-10
52.01503,4.58E-10
52.06249,2.48E-09
52.10995,8.84E-10
52.15741,9.31E-10
52.20486,1.56E-09
52.25232,1.14E-08
52.29978,1.06E-09
52.34724,1.38E-09
52.3947,1.05E-09
52.44216,4.64E-09
52.48962,6.43E-09
52.53708,6.79E-09
52.58454,2.15E-09
52.632,2.82E-09
52.67945,1.81E-10
52.72691,2.71E-10
52.77437,9.16E-10
52.82183,2.63E-11
52.86929,1.70E-09
52.91675,5.43E-09
52.96421,5.14E-09
53.01167,1.05E-09
53.05913,1.36E-08
53.10658,4.47E-09
53.15404,2.62E-10
53.2015,1.31E-09
53.24896,3.74E-09
53.29642,5.09E-10
53.34388,7.60E-09
53.39134,3.70E-09
53.4388,5.47E-09
53.48626,3.40E-09
53.53372,3.78E-09
53.58117,3.51E-09
53.62863,4.85E-09
53.67609,3.08E-09
53.72355,3.24E-09
53.77101,3.09E-09
53.81847,2.20E-09
53.86593,4.61E-10
53.91339,6.34E-09
53.96085,6.12E-09
54.00831,1.91E-09
54.05576,1.77E-09
54.10322,5.45E-09
54.15068,6.99E-10
54.19814,3.00E-10
54.2456,3.83E-10
54.29306,4.35E-09
54.34052,1.30E-09
54.38798,8.63E-10
54.43544,1.47E-10
54.48289,1.35E-09
54.53035,1.62E-10
54.57781,3.06E-09
54.62527,4.94E-09
54.67273,5.81E-09
54.72019,2.80E-09
54.76765,2.33E-09
54.81511,4.53E-10
54.86257,1.54E-09
54.91003,4.83E-10
54.95748,2.91E-09
55.00494,3.79E-09
55.0524,2.17E-09
55.09986,5.22E-10
55.14732,7.00E-10
55.19478,2.54E-09
55.24224,1.97E-09
